MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,CASILLA,NOMINAL,PAN,PRI,PRD,PVEM,PT,MC,PANAL,MORENA,PES,PAN_MC,PT_MORENA_PES,PT_MORENA,PT_PES,MORENA_PES,INDEPENDIENTE_1,INDEPENDIENTE_2,INDEPENDIENTE_3,INDEPENDIENTE_4,INDEPENDIENTE_5,INDEPENDIENTE_6,INDEPENDIENTE_7,INDEPENDIENTE_8,INDEPENDIENTE_9,INDEPENDIENTE_10,INDEPENDIENTE_11,INDEPENDIENTE_12,INDEPENDIENTE_13,INDEPENDIENTE_14,INDEPENDIENTE_15,INDEPENDIENTE_16,NO_REG,NULOS
1,AHUMADA,1,B1,379,0,35,115,39,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,AHUMADA,1,C1,378,7,25,120,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1,AHUMADA,2,B1,637,8,89,272,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,AHUMADA,2,S1,750,0,10,8,14,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,AHUMADA,3,B1,444,0,47,226,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,AHUMADA,3,C1,444,0,45,191,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,AHUMADA,4,B1,396,4,89,33,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,AHUMADA,4,C1,395,0,68,68,139,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
1,AHUMADA,5,B1,429,0,52,140,99,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
1,AHUMADA,5,C1,429,3,149,56,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,AHUMADA,6,B1,543,5,172,65,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
1,AHUMADA,6,C1,543,9,29,125,98,1,66,10,7,2,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
1,AHUMADA,6,C2,543,14,42,104,94,4,83,13,3,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
