MUNICIPIO,SECCION,CASILLA,PAN,PRI_PVEM_PTP_PANAL,PRD,MC,MORENA,INDEPENDIENTE,NO_REG,NULOS
AHUMADA,1,B,91,146,1,91,0,22,0,13
AHUMADA,2,B,102,190,0,80,3,24,0,10
AHUMADA,2,ES1,76,80,1,21,1,41,0,0
AHUMADA,3,B,66,126,0,53,0,18,0,4
AHUMADA,3,C1,47,156,0,57,1,17,0,6
AHUMADA,4,B,56,131,0,59,2,9,0,10
AHUMADA,4,C1,55,140,1,38,0,24,0,8
AHUMADA,5,B,36,149,2,70,0,8,0,16
AHUMADA,5,C1,34,167,1,66,1,4,0,2
AHUMADA,6,B,38,130,2,133,0,10,0,5
AHUMADA,6,C1,33,140,0,129,3,3,0,17
AHUMADA,6,C2,37,114,0,130,0,8,0,6
AHUMADA,7,B,44,207,1,141,4,21,0,17
AHUMADA,8,B,45,164,1,89,0,14,0,9
AHUMADA,8,C1,36,193,1,90,0,22,0,17
AHUMADA,10,B,4,46,0,19,0,0,0,1
AHUMADA,11,B,2,59,0,14,0,3,0,1
AHUMADA,12,B,7,101,0,19,1,2,0,2
AHUMADA,13,B,19,126,2,77,1,1,0,10
AHUMADA,14,B,18,148,1,44,0,4,0,6
AHUMADA,15,B,8,33,0,24,0,0,0,1
AHUMADA,16,B,14,55,0,24,1,4,0,1
ALDAMA,17,B,231,77,30,1,5,58,0,5
ALDAMA,17,C1,225,81,23,4,4,60,0,9
ALDAMA,17,C2,265,103,28,0,3,43,0,7
ALDAMA,17,C3,190,90,37,2,8,60,1,8
ALDAMA,18,B,175,53,27,1,8,30,0,8
ALDAMA,18,C1,160,51,33,1,6,31,0,10
ALDAMA,18,C2,160,69,32,0,3,27,0,0
ALDAMA,19,B,250,77,12,2,2,46,0,12
ALDAMA,19,C1,227,78,14,0,6,47,0,12
ALDAMA,20,B,197,92,7,0,1,28,0,7
ALDAMA,20,C1,217,81,19,1,4,23,1,4
ALDAMA,21,B,242,110,6,0,1,45,0,5
ALDAMA,22,B,140,62,18,0,2,26,0,12
ALDAMA,22,C1,142,59,18,1,3,25,1,8
ALDAMA,23,B,165,74,15,0,6,29,0,6
ALDAMA,23,C1,160,63,23,1,7,31,0,9
ALDAMA,24,B,179,81,3,1,3,31,0,2
ALDAMA,24,C1,170,77,10,0,2,32,0,4
ALDAMA,25,B,249,91,8,1,0,39,0,6
ALDAMA,26,B,224,116,4,1,8,66,0,5
ALDAMA,27,B,235,101,15,2,2,42,0,5
ALDAMA,27,C1,219,96,20,0,2,40,0,9
ALDAMA,28,B,152,62,12,0,5,29,0,5
ALDAMA,28,C1,165,69,26,3,1,38,0,9
ALDAMA,28,C2,164,82,15,1,5,28,0,10
ALDAMA,30,B,64,55,4,0,8,8,0,5
ALDAMA,31,B,20,45,4,0,2,7,0,4
ALDAMA,32,B,114,92,29,0,5,8,0,6
ALDAMA,34,B,168,111,6,0,2,29,0,3
ALDAMA,34,C1,183,110,7,1,1,21,0,10
ALDAMA,34,C2,178,97,11,2,4,24,0,8
ALDAMA,35,B,119,42,1,0,6,3,1,0
ALDAMA,36,B,54,25,4,0,3,6,0,4
ALDAMA,37,B,43,42,0,0,0,2,0,2
ALDAMA,3218,B,166,56,9,2,4,74,0,4
ALLENDE,38,B,162,186,5,0,1,49,0,6
ALLENDE,38,C1,154,175,8,0,3,48,0,10
ALLENDE,39,B,157,150,1,1,2,36,0,0
ALLENDE,39,C1,162,162,3,1,1,31,0,9
ALLENDE,40,B,224,201,3,1,0,32,1,12
ALLENDE,41,B,120,142,0,0,1,39,0,7
ALLENDE,41,C1,144,123,1,2,1,29,0,5
ALLENDE,43,B,142,155,0,0,1,0,0,2
ALLENDE,47,B,82,77,2,0,0,5,0,1
ALLENDE,48,B,109,72,0,0,1,8,0,3
ALLENDE,49,B,55,76,2,0,2,14,0,4
ALLENDE,50,B,63,64,0,3,0,11,0,2
ALLENDE,52,B,115,118,5,0,1,23,0,5
ALLENDE,53,B,234,124,11,0,2,40,0,8
ALLENDE,54,B,166,142,15,0,3,29,0,9
ALLENDE,55,B,165,207,0,1,0,20,0,6
AQUILES SERDAN,56,B,236,197,9,1,1,26,0,13
AQUILES SERDAN,56,C1,222,168,11,1,2,31,0,12
AQUILES SERDAN,56,C2,228,184,8,5,5,40,0,16
AQUILES SERDAN,57,B,108,131,5,10,2,20,0,12
AQUILES SERDAN,59,B,168,192,11,1,4,42,1,11
AQUILES SERDAN,59,C1,157,165,16,3,1,37,0,0
AQUILES SERDAN,59,EX1,122,178,19,4,3,41,0,12
AQUILES SERDAN,59,EX1 C1,120,192,25,13,2,34,0,5
AQUILES SERDAN,59,EX1 C2,113,171,23,10,3,44,0,11
AQUILES SERDAN,59,EX1 C3,95,174,24,19,3,42,0,4
AQUILES SERDAN,59,EX1 C4,117,156,19,14,3,39,0,16
AQUILES SERDAN,59,EX1 C5,107,166,12,15,2,47,0,13
AQUILES SERDAN,59,EX2,106,190,9,9,4,37,0,7
AQUILES SERDAN,59,EX2 C1,82,185,17,10,2,44,0,13
AQUILES SERDAN,59,EX2 C2,100,172,14,8,6,51,0,7
AQUILES SERDAN,59,EX3,51,118,5,15,1,30,0,4
AQUILES SERDAN,59,EX3 C1,70,105,3,2,4,28,0,5
ASCENSIÓN,60,B,158,142,2,10,2,12,0,8
ASCENSIÓN,60,C1,143,160,4,6,2,6,6,10
ASCENSIÓN,61,B,126,158,1,6,4,15,0,8
ASCENSIÓN,61,C1,108,159,2,5,2,13,0,11
ASCENSIÓN,62,B,122,177,1,6,1,25,0,5
ASCENSIÓN,63,B,120,134,0,7,1,5,0,0
ASCENSIÓN,63,C1,143,136,2,2,4,15,0,8
ASCENSIÓN,64,B,73,95,5,3,0,7,0,4
ASCENSIÓN,64,C1,89,92,1,10,0,16,0,5
ASCENSIÓN,65,B,105,163,4,9,3,20,0,10
ASCENSIÓN,66,B,111,199,3,16,0,13,0,11
ASCENSIÓN,67,B,118,185,3,3,1,18,0,15
